index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
44,nusaparagraph_rhetoric_jav_nusantara_text,2,eng,0.371,0.371,0.371,0.371,0.4207446700192462,0.3724004939809634,0.29554608996172926,0.42382667672440555,0.371,0.2931932448070269
45,nusaparagraph_rhetoric_mad_nusantara_text,0,eng,0.37916666666666665,0.37916666666666665,0.37916666666666665,0.37916666666666665,0.2876752270717788,0.3389012262411519,0.274716750598328,0.30133721415079173,0.37916666666666665,0.30209932082789004
46,nusaparagraph_rhetoric_mad_nusantara_text,1,eng,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.4915716703387937,0.2932959519699727,0.2028768896090074,0.508261746814829,0.3416666666666667,0.22970283364252508
47,nusaparagraph_rhetoric_mad_nusantara_text,2,eng,0.3475,0.3475,0.3475,0.3475,0.46656102518171483,0.3059780758950663,0.22192926346157466,0.4874073053383398,0.3475,0.2491191756302682
48,nusaparagraph_rhetoric_mak_nusantara_text,0,eng,0.27166666666666667,0.27166666666666667,0.27166666666666667,0.27166666666666667,0.20027864558041159,0.2543848338929583,0.1842414685623401,0.20103454394048945,0.27166666666666667,0.19223592494209568
49,nusaparagraph_rhetoric_mak_nusantara_text,1,eng,0.2633333333333333,0.2633333333333333,0.2633333333333333,0.2633333333333333,0.16183826216673913,0.24404282387819295,0.15968364028622994,0.16183002882906047,0.2633333333333333,0.1679376334963362
50,nusaparagraph_rhetoric_mak_nusantara_text,2,eng,0.27166666666666667,0.27166666666666667,0.27166666666666667,0.27166666666666667,0.37696489774615494,0.2555644531484324,0.18048182007222455,0.37765877053423746,0.27166666666666667,0.18774421918565773
51,nusaparagraph_rhetoric_min_nusantara_text,0,eng,0.366,0.366,0.366,0.366,0.3080498988096828,0.35903488369451686,0.311445598510604,0.3025823454886456,0.366,0.31205509087306227
52,nusaparagraph_rhetoric_min_nusantara_text,1,eng,0.2935,0.2935,0.2935,0.2935,0.35612472985114496,0.27970743681140475,0.20044234114477466,0.3570033864221364,0.2935,0.20804468288681352
53,nusaparagraph_rhetoric_min_nusantara_text,2,eng,0.3385,0.3385,0.3385,0.3385,0.43747827305890075,0.32434187856638136,0.2548820775370488,0.4405156719679794,0.3385,0.2628240757214734
54,nusaparagraph_rhetoric_mui_nusantara_text,0,eng,0.32,0.32,0.32,0.32,0.2778878306878307,0.3179507384622474,0.2791753774680604,0.26965396825396826,0.32,0.2756756678281069
55,nusaparagraph_rhetoric_mui_nusantara_text,1,eng,0.2225,0.2225,0.2225,0.2225,0.15631169761137537,0.21104859335038362,0.12957828068278365,0.15976538923840214,0.2225,0.1349496504981849
56,nusaparagraph_rhetoric_mui_nusantara_text,2,eng,0.2825,0.2825,0.2825,0.2825,0.30760002773732753,0.2756194557729085,0.22286925007036493,0.2963177830940989,0.2825,0.2230835441505223
57,nusaparagraph_rhetoric_rej_nusantara_text,0,eng,0.265,0.265,0.265,0.265,0.19194647725642128,0.2497901577201652,0.19466512144804698,0.19649941706127133,0.265,0.20438211840216006
58,nusaparagraph_rhetoric_rej_nusantara_text,1,eng,0.2425,0.2425,0.2425,0.2425,0.09646197183098591,0.22380952380952382,0.1329737655129078,0.1039250704225352,0.2425,0.14352777923234014
59,nusaparagraph_rhetoric_rej_nusantara_text,2,eng,0.26,0.26,0.26,0.26,0.2331936880323977,0.2445760928076639,0.17800608304444682,0.23531874039938555,0.26,0.186818953844692
60,nusaparagraph_rhetoric_sun_nusantara_text,0,eng,0.386,0.386,0.386,0.386,0.3017555178935985,0.35358483474019675,0.3164467233249704,0.3144670900374878,0.386,0.3377468766470731
61,nusaparagraph_rhetoric_sun_nusantara_text,1,eng,0.3395,0.3395,0.3395,0.3395,0.42279397864699336,0.29386593751247736,0.230519772494862,0.416644466620482,0.3395,0.25372711877478105
62,nusaparagraph_rhetoric_sun_nusantara_text,2,eng,0.368,0.368,0.368,0.368,0.3381268058455566,0.32444578483288916,0.2642408553474251,0.34311185405943023,0.368,0.29133690407347307
63,nusaparagraph_topic_btk_nusantara_text,0,eng,0.186,0.186,0.186,0.186,0.0417856513308655,0.11711647727272727,0.06159036144578313,0.06661801515952759,0.186,0.0980950361445783
64,nusaparagraph_topic_btk_nusantara_text,1,eng,0.13,0.13,0.13,0.13,0.04272085962614597,0.1204190340909091,0.04111509468652326,0.06363805214906537,0.13,0.05211546240117668
65,nusaparagraph_topic_btk_nusantara_text,2,eng,0.174,0.174,0.174,0.174,0.1752859477124183,0.12672957805514157,0.07201921053422722,0.20058169934640524,0.174,0.10718170940684846
66,nusaparagraph_topic_bew_nusantara_text,0,eng,0.685,0.685,0.685,0.685,0.7490332709680996,0.6903739227301575,0.6628355846557852,0.7794121585255727,0.685,0.680618103638682
67,nusaparagraph_topic_bew_nusantara_text,1,eng,0.63,0.63,0.63,0.63,0.6745321378680684,0.6216458683055855,0.6052434232966558,0.6987635537473637,0.63,0.6307614902966516
68,nusaparagraph_topic_bew_nusantara_text,2,eng,0.62125,0.62125,0.62125,0.62125,0.6664020629392862,0.6220698901713,0.5993772322391191,0.694156039484462,0.62125,0.622412517125884
69,nusaparagraph_topic_bug_nusantara_text,0,eng,0.64,0.64,0.64,0.64,0.6693437845648109,0.6589779526399244,0.6080575207912071,0.7459624791105893,0.64,0.6486455030597802
70,nusaparagraph_topic_bug_nusantara_text,1,eng,0.62,0.62,0.62,0.62,0.7501991421568628,0.6273737048384935,0.5930068727303694,0.8093511710239651,0.62,0.6315663591702544
71,nusaparagraph_topic_bug_nusantara_text,2,eng,0.6033333333333334,0.6033333333333334,0.6033333333333334,0.6033333333333334,0.6649667417360727,0.6123328612765233,0.5732688846070828,0.7440236028144734,0.6033333333333334,0.6169973282885542
72,nusaparagraph_topic_jav_nusantara_text,0,eng,0.66875,0.66875,0.66875,0.66875,0.7447304440672737,0.6596576141125614,0.6396380960343313,0.7480076322606561,0.66875,0.6425684943422341
73,nusaparagraph_topic_jav_nusantara_text,1,eng,0.63875,0.63875,0.63875,0.63875,0.6968890602628206,0.6232442868412644,0.617957891059318,0.6815643645426502,0.63875,0.6196023998748966
74,nusaparagraph_topic_jav_nusantara_text,2,eng,0.63875,0.63875,0.63875,0.63875,0.6972302328556306,0.6222613362346268,0.6165607932480255,0.6722205464234469,0.63875,0.618467548051278
75,nusaparagraph_topic_mad_nusantara_text,0,eng,0.6042857142857143,0.6042857142857143,0.6042857142857143,0.6042857142857143,0.6681514939505455,0.6285995651595118,0.5703604730496837,0.7888942483575612,0.6042857142857143,0.6216182999085506
76,nusaparagraph_topic_mad_nusantara_text,1,eng,0.57,0.57,0.57,0.57,0.6786120486233773,0.5858891155257433,0.5354250412304858,0.7780483622621387,0.57,0.6001280056676551
77,nusaparagraph_topic_mad_nusantara_text,2,eng,0.5514285714285714,0.5514285714285714,0.5514285714285714,0.5514285714285714,0.6977451960142862,0.5778482515076705,0.5322097153328871,0.7996258163972032,0.5514285714285714,0.5923412212863983
78,nusaparagraph_topic_mak_nusantara_text,0,eng,0.5814285714285714,0.5814285714285714,0.5814285714285714,0.5814285714285714,0.6245270394458737,0.6126929324963133,0.5639982330984188,0.7006508435760481,0.5814285714285714,0.5889434302436402
79,nusaparagraph_topic_mak_nusantara_text,1,eng,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.6211915072096792,0.5804776833787708,0.5460535966568019,0.6857321520316634,0.5542857142857143,0.5839536374440943
80,nusaparagraph_topic_mak_nusantara_text,2,eng,0.5385714285714286,0.5385714285714286,0.5385714285714286,0.5385714285714286,0.6177279632944996,0.5668541925110683,0.5382994642175513,0.680291662329615,0.5385714285714286,0.5699436993258719
81,nusaparagraph_topic_min_nusantara_text,0,eng,0.67375,0.67375,0.67375,0.67375,0.7194442804976007,0.7012376531240483,0.6717786614407826,0.7258284003285607,0.67375,0.6568377538844418
82,nusaparagraph_topic_min_nusantara_text,1,eng,0.63875,0.63875,0.63875,0.63875,0.664104245409881,0.6441741009455523,0.6185546023948741,0.6408783305270191,0.63875,0.6091969722598648
83,nusaparagraph_topic_min_nusantara_text,2,eng,0.62875,0.62875,0.62875,0.62875,0.7000987777906914,0.6458009391259191,0.6201563104943515,0.6902901857932744,0.62875,0.6054234746893539
84,nusaparagraph_topic_mui_nusantara_text,0,eng,0.67,0.67,0.67,0.67,0.7662212329046221,0.5880827505827506,0.6084709816641698,0.8749907182775284,0.67,0.6898636554338285
85,nusaparagraph_topic_mui_nusantara_text,1,eng,0.6125,0.6125,0.6125,0.6125,0.6347208252836477,0.5377185314685315,0.5745798039045685,0.7185147749075531,0.6125,0.6515936812848979
86,nusaparagraph_topic_mui_nusantara_text,2,eng,0.6225,0.6225,0.6225,0.6225,0.6405281654420822,0.5426719114219114,0.5776134729342577,0.7216987775893802,0.6225,0.6559867386537589
87,nusaparagraph_topic_rej_nusantara_text,0,eng,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6714774160594594,0.6921929533356157,0.6247733281238795,0.6938828771274591,0.6314285714285715,0.5861937174847391
88,nusaparagraph_topic_rej_nusantara_text,1,eng,0.6057142857142858,0.6057142857142858,0.6057142857142858,0.6057142857142858,0.6161056806951972,0.6390554990572522,0.5849887899456865,0.606557287515048,0.6057142857142858,0.5681101378096453
